thefields,units,standard_names,long_names,comments,types,heights,instruments,locations,methods
"tau_bulk_u","N/m^2","","bulk streamwise stress zonal W-to E component","meteorological convention from, positive to east","modelResult",0,"","","COARE 3.6 not including wave input"
"tau_bulk_v","N/m^2","","bulk streamwise stress meridional S-to-N component","meteorological convention from, positive to north","modelResult",0,"","","COARE 3.6 not including wave input"
"mo_length","m","","Monin-Obukhov length scale","","modelResult",,"","","COARE 3.6 not including wave input"
"ustar","m/s","","bulk friction velocity that includes gustiness","","modelResult",0,"","","COARE 3.6 not including wave input"
"tstar","Kelvin","","bulk air temperature scaling parameter","","modelResult",0,"","","COARE 3.6 not including wave input"
"qstar","kg/kg","","bulk air specific humidity scaling parameter","","modelResult",0,"","","COARE 3.6 not including wave input"
"cd","","surface_drag_coefficient_for_momentum_in_air","surface drag coefficient for momentum","","modelResult",0,"","","COARE 3.6 not including wave input"
"ce","","","latent heat transfer coefficient Dalton number","","modelResult",0,"","","COARE 3.6 not including wave input"
"ch","","","sensible heat transfer coefficient Stanton number","","modelResult",0,"","","COARE 3.6 not including wave input"
"cdn10","","surface_drag_coefficient_for_momentum_in_air","neutral stability surface drag coefficient for momentum adjusted to 10 m height","","modelResult",10,"","","COARE 3.6 not including wave input"
"cen10","","","neutral stability latent heat transfer coefficient Dalton number adjusted to 10 m height","","modelResult",10,"","","COARE 3.6 not including wave input"
"chn10","","","neutral stability sensible heat transfer coefficient Stanton number adjusted to 10 m height","","modelResult",10,"","","COARE 3.6 not including wave input"
"erate","mm/hr","evaporation_rate","evaporation rate","","modelResult",0,"","","COARE 3.6 not including wave input"
"rough_u","m","surface_roughness_length_for_momentum_in_air","surface roughness length for momentum","","modelResult",,"","","COARE 3.6 not including wave input"
"rough_t","m","surface_roughness_length_for_heat_in_air","surface roughness length for heat","","modelResult",,"","","COARE 3.6 not including wave input"
"rough_q","m","","surface roughness length for humidity in air","","modelResult",0,"","","COARE 3.6 not including wave input"
"gust","m/s","wind_speed_of_gust","wind speed of gust or gustiness factor","","modelResult",0,"","","COARE 3.6 not including wave input"
